Unnamed: 0,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,class,stalk_height,cap_diameter
1082,conical,scaly,brown,yes,creosote,free,close,broad,orange,tapering,rooted,fibrous,fibrous,cinnamon,white,universal,orange,none,zone,yellow,several,leaves,poisonous,13.196532242104771,4.5515208207229545
377,conical,fibrous,white,no,fishy,notched,close,broad,yellow,tapering,missing,scaly,smooth,orange,pink,universal,orange,one,sheathing,green,several,leaves,poisonous,5.336868342493679,3.060439931243527
553,convex,smooth,yellow,yes,musty,attached,close,narrow,chocolate,tapering,bulbous,silky,smooth,brown,cinnamon,universal,orange,none,sheathing,purple,scattered,paths,poisonous,9.653288938585256,17.03369656043441
987,convex,scaly,red,yes,creosote,notched,close,narrow,chocolate,tapering,bulbous,scaly,scaly,yellow,yellow,universal,white,none,cobwebby,brown,abundant,grasses,poisonous,2.0845212698254736,1.0224987819969782
1108,bell,grooves,purple,no,foul,descending,distant,broad,red,tapering,rooted,scaly,fibrous,orange,gray,universal,yellow,one,large,chocolate,several,woods,edible,3.594944070355491,1.219114443800691
519,convex,scaly,yellow,yes,foul,notched,close,broad,yellow,enlarging,rhizomorphs,scaly,smooth,brown,gray,universal,orange,one,flaring,green,numerous,urban,poisonous,10.520194485771205,22.82613032482098
354,bell,fibrous,purple,no,fishy,attached,crowded,broad,green,tapering,equal,smooth,silky,cinnamon,pink,universal,orange,one,pendant,chocolate,scattered,waste,poisonous,7.211323749702072,14.388214167648568
896,bell,smooth,yellow,no,spicy,descending,crowded,narrow,pink,tapering,bulbous,silky,smooth,brown,gray,partial,white,none,cobwebby,chocolate,clustered,leaves,poisonous,10.116621177390114,8.804394081478968
1054,conical,smooth,gray,yes,foul,notched,crowded,narrow,red,enlarging,bulbous,silky,fibrous,pink,red,partial,brown,none,evanescent,white,numerous,woods,poisonous,7.755409650610324,20.328047059654956
119,sunken,smooth,green,no,musty,free,close,broad,pink,enlarging,cup,silky,fibrous,buff,red,partial,orange,none,pendant,green,clustered,paths,poisonous,7.328065367234386,22.48365094612521
177,sunken,smooth,gray,no,almond,attached,close,narrow,red,tapering,cup,silky,smooth,red,pink,partial,orange,two,large,purple,solitary,urban,poisonous,5.099540654125109,24.54052890403389
913,convex,fibrous,yellow,yes,none,attached,distant,narrow,black,tapering,equal,smooth,scaly,buff,orange,partial,orange,one,none,purple,clustered,grasses,poisonous,9.23471831485184,19.86244625840295
1007,conical,grooves,green,yes,pungent,attached,close,broad,gray,enlarging,rooted,scaly,fibrous,red,white,universal,white,one,cobwebby,yellow,solitary,meadows,poisonous,13.767034382488712,3.3181827794098844
943,bell,scaly,pink,no,spicy,descending,distant,narrow,green,enlarging,rooted,smooth,smooth,buff,gray,universal,brown,none,large,brown,clustered,urban,edible,8.866764995996384,20.230222373868223
532,convex,scaly,brown,yes,fishy,attached,close,broad,white,tapering,bulbous,fibrous,silky,pink,cinnamon,partial,white,one,none,black,abundant,paths,poisonous,5.865708063281145,14.539994448661076
1275,sunken,scaly,yellow,no,pungent,descending,distant,narrow,orange,enlarging,rooted,fibrous,fibrous,red,red,partial,white,none,zone,white,numerous,leaves,poisonous,4.74645300816836,10.76993475823144
957,conical,smooth,white,no,fishy,notched,distant,broad,gray,enlarging,missing,smooth,scaly,white,yellow,universal,yellow,two,pendant,chocolate,several,urban,edible,9.273152239375216,6.069182626614275
181,sunken,fibrous,pink,no,pungent,attached,crowded,narrow,red,tapering,rhizomorphs,silky,silky,brown,pink,partial,white,none,none,white,abundant,paths,poisonous,4.902938024796838,7.18511593357662
326,convex,smooth,brown,yes,creosote,free,crowded,broad,orange,tapering,missing,scaly,scaly,buff,red,partial,white,none,cobwebby,green,abundant,leaves,poisonous,11.434252747596902,15.673413075046152
280,convex,scaly,brown,no,anise,descending,crowded,narrow,black,enlarging,missing,silky,smooth,gray,yellow,universal,white,one,large,green,abundant,leaves,poisonous,2.117873141096542,4.790971331381394
1136,bell,scaly,gray,no,foul,free,distant,narrow,brown,enlarging,cup,smooth,silky,red,orange,partial,brown,none,evanescent,purple,clustered,meadows,edible,12.524773356662353,21.742720817619208
549,conical,grooves,brown,no,foul,free,distant,broad,white,tapering,rooted,smooth,fibrous,buff,gray,partial,yellow,two,large,chocolate,solitary,woods,poisonous,12.206952075949223,5.061714789779822
547,bell,scaly,gray,no,creosote,notched,crowded,broad,brown,enlarging,equal,smooth,scaly,orange,yellow,partial,white,two,large,orange,numerous,woods,poisonous,12.35354761103572,21.238742684260547
82,sunken,smooth,white,yes,almond,notched,close,broad,green,enlarging,rhizomorphs,fibrous,scaly,brown,yellow,universal,yellow,none,none,black,clustered,waste,edible,6.317236868769021,17.15044149259231
379,flat,smooth,pink,no,creosote,descending,distant,narrow,brown,enlarging,club,fibrous,silky,orange,pink,universal,white,none,pendant,yellow,abundant,waste,poisonous,3.0883100947064026,17.66037358700966
518,conical,fibrous,yellow,yes,anise,attached,close,broad,pink,enlarging,rhizomorphs,scaly,scaly,cinnamon,yellow,partial,yellow,none,none,orange,several,urban,edible,7.069809634419539,22.5045963269626
582,convex,fibrous,buff,no,fishy,attached,crowded,narrow,pink,tapering,rhizomorphs,fibrous,scaly,buff,orange,universal,orange,one,zone,orange,clustered,leaves,poisonous,12.45043433496818,7.509931884719975
632,flat,smooth,yellow,no,almond,notched,close,broad,buff,tapering,cup,smooth,fibrous,yellow,white,universal,yellow,one,pendant,white,several,woods,poisonous,9.274446608484348,5.047491880241875
962,bell,grooves,yellow,yes,anise,attached,close,broad,green,enlarging,cup,smooth,silky,pink,buff,partial,white,two,large,brown,numerous,meadows,poisonous,12.639690080218342,11.560727573052798
275,sunken,grooves,yellow,yes,almond,notched,close,narrow,yellow,tapering,rhizomorphs,silky,silky,cinnamon,cinnamon,universal,orange,two,flaring,white,clustered,paths,poisonous,12.938930240588542,13.380007278042092
1122,conical,fibrous,yellow,yes,fishy,attached,crowded,narrow,black,tapering,bulbous,smooth,fibrous,gray,buff,universal,brown,two,pendant,green,abundant,meadows,poisonous,9.654492799277303,7.028738068528575
763,bell,grooves,brown,no,pungent,attached,close,broad,gray,tapering,cup,smooth,smooth,pink,brown,universal,yellow,none,zone,brown,abundant,waste,poisonous,6.88724020131185,2.2374679448372814
1186,bell,grooves,yellow,yes,foul,free,close,broad,orange,enlarging,cup,silky,smooth,brown,brown,partial,white,two,flaring,chocolate,several,waste,edible,10.397560483572256,6.470987352300177
1258,flat,scaly,buff,no,anise,free,close,broad,brown,enlarging,bulbous,fibrous,smooth,pink,cinnamon,partial,orange,none,none,chocolate,abundant,leaves,edible,7.763252722367582,5.246725931314958
742,flat,scaly,purple,yes,pungent,notched,close,narrow,chocolate,tapering,rooted,smooth,silky,gray,cinnamon,partial,white,one,pendant,purple,scattered,paths,poisonous,9.94004177317409,1.6692692118163643
383,bell,smooth,brown,yes,foul,attached,crowded,narrow,orange,enlarging,rooted,scaly,fibrous,buff,buff,universal,brown,one,flaring,chocolate,several,waste,poisonous,8.831172626151904,19.32522176611532
1049,sunken,fibrous,green,yes,almond,notched,crowded,broad,brown,tapering,bulbous,smooth,silky,buff,pink,universal,orange,two,none,black,abundant,waste,poisonous,14.522446356767444,16.930423129723998
541,bell,scaly,green,yes,anise,free,crowded,broad,purple,tapering,missing,fibrous,fibrous,brown,brown,universal,brown,two,evanescent,green,abundant,leaves,edible,4.122998136038284,8.212711984182713
349,conical,fibrous,red,yes,pungent,notched,crowded,broad,brown,tapering,rooted,silky,smooth,cinnamon,gray,universal,white,none,evanescent,chocolate,scattered,leaves,edible,12.461235720666505,7.148897796743014
879,flat,grooves,green,no,foul,free,crowded,narrow,gray,tapering,rhizomorphs,fibrous,scaly,yellow,cinnamon,universal,orange,two,zone,black,abundant,urban,poisonous,11.938913398298018,16.81894653263686
604,conical,fibrous,gray,no,pungent,notched,distant,broad,brown,tapering,club,fibrous,fibrous,pink,yellow,universal,yellow,one,cobwebby,orange,scattered,waste,poisonous,3.65212147572512,15.94621752738184
1046,bell,scaly,white,no,fishy,free,distant,broad,green,enlarging,bulbous,silky,silky,red,red,partial,brown,one,sheathing,yellow,clustered,urban,poisonous,8.374571416579132,5.32510376566
778,sunken,fibrous,gray,yes,musty,free,close,broad,white,tapering,missing,fibrous,silky,white,pink,partial,brown,two,pendant,orange,solitary,grasses,poisonous,5.747580650950471,3.144325950719183
466,sunken,smooth,green,no,musty,free,crowded,broad,black,tapering,bulbous,silky,scaly,yellow,yellow,universal,white,two,large,purple,several,urban,poisonous,14.506684562313389,2.714967208392384
493,sunken,scaly,pink,yes,almond,notched,crowded,narrow,green,enlarging,bulbous,silky,silky,gray,buff,partial,white,none,none,black,numerous,leaves,poisonous,9.396125102966236,14.288111586924217
1197,convex,fibrous,white,no,fishy,attached,close,narrow,yellow,tapering,club,scaly,scaly,white,red,universal,white,none,pendant,yellow,abundant,grasses,poisonous,14.067357872670812,9.423829567020617
894,sunken,fibrous,white,yes,none,descending,crowded,broad,black,tapering,club,fibrous,smooth,pink,cinnamon,partial,brown,one,none,green,clustered,meadows,poisonous,12.123425803292982,7.118137257744346
385,convex,scaly,green,yes,foul,notched,distant,broad,orange,enlarging,cup,fibrous,silky,cinnamon,buff,partial,yellow,one,none,black,numerous,meadows,edible,6.651160001504748,12.350732250791532
138,flat,smooth,yellow,no,anise,descending,distant,narrow,black,enlarging,bulbous,silky,smooth,brown,pink,universal,orange,two,large,purple,several,meadows,poisonous,2.4303281138022275,18.03550601225677
666,convex,fibrous,brown,yes,pungent,descending,distant,narrow,yellow,tapering,equal,smooth,fibrous,cinnamon,yellow,universal,orange,none,evanescent,black,abundant,meadows,edible,13.602566450173166,4.73307950001718
1147,sunken,smooth,buff,no,foul,notched,distant,narrow,orange,tapering,rhizomorphs,fibrous,fibrous,buff,brown,partial,white,none,sheathing,purple,solitary,woods,poisonous,9.273317565170943,1.65120602901611
591,flat,smooth,buff,yes,almond,notched,close,narrow,chocolate,enlarging,missing,smooth,silky,buff,white,universal,brown,none,flaring,chocolate,abundant,urban,poisonous,2.745282879770766,24.912770128156826
661,conical,grooves,green,no,pungent,free,crowded,broad,brown,enlarging,club,smooth,silky,buff,orange,partial,brown,two,sheathing,purple,several,woods,edible,4.303660237342978,4.410084482024765
565,flat,grooves,white,no,spicy,free,distant,narrow,orange,tapering,equal,scaly,smooth,gray,white,universal,brown,two,sheathing,orange,clustered,paths,poisonous,6.799675289311954,3.6149100401851935
1198,sunken,smooth,white,no,anise,attached,crowded,broad,black,tapering,bulbous,scaly,scaly,orange,red,partial,brown,two,sheathing,black,solitary,woods,edible,13.214006547563969,14.54917131375692
602,convex,scaly,green,no,spicy,free,close,narrow,black,enlarging,rooted,fibrous,scaly,cinnamon,orange,partial,white,two,flaring,white,abundant,grasses,poisonous,12.530972742878582,24.08579935918789
224,bell,fibrous,buff,yes,fishy,descending,close,narrow,buff,tapering,rhizomorphs,scaly,smooth,white,yellow,universal,orange,none,sheathing,brown,solitary,waste,poisonous,11.808204860861167,10.7947608725835
686,conical,scaly,brown,yes,anise,descending,close,narrow,purple,enlarging,equal,fibrous,scaly,red,brown,partial,orange,none,zone,green,clustered,waste,poisonous,9.163877806408124,14.426713364752638
588,flat,smooth,green,no,none,attached,distant,broad,orange,tapering,cup,smooth,silky,cinnamon,pink,partial,brown,none,cobwebby,black,clustered,paths,poisonous,13.323204546938612,5.539454418481619
1005,sunken,scaly,buff,no,musty,free,distant,narrow,gray,enlarging,cup,fibrous,scaly,white,white,partial,orange,one,zone,orange,solitary,leaves,poisonous,4.154304736003909,10.03177190529474
151,conical,fibrous,red,no,almond,descending,crowded,broad,brown,tapering,missing,smooth,scaly,yellow,cinnamon,universal,yellow,one,sheathing,buff,clustered,woods,edible,12.356459999746647,24.141763238802632
1204,flat,fibrous,yellow,no,musty,free,crowded,narrow,purple,tapering,bulbous,scaly,scaly,gray,yellow,partial,yellow,two,large,buff,several,grasses,poisonous,8.898135791402607,3.0042074473840845
1153,sunken,fibrous,white,no,pungent,notched,close,narrow,buff,enlarging,cup,fibrous,silky,gray,red,partial,white,two,sheathing,green,abundant,woods,poisonous,4.882746833460811,2.723651342198059
534,bell,scaly,brown,no,fishy,free,distant,broad,yellow,enlarging,bulbous,silky,scaly,gray,cinnamon,partial,white,one,evanescent,white,scattered,paths,edible,7.115625805236801,13.284097892746235
548,sunken,scaly,purple,no,creosote,attached,close,narrow,pink,enlarging,bulbous,smooth,smooth,red,pink,partial,white,two,zone,purple,solitary,meadows,poisonous,3.36575829540471,22.728262613300668
801,bell,scaly,purple,yes,spicy,descending,distant,narrow,black,enlarging,cup,scaly,scaly,cinnamon,buff,partial,brown,none,zone,chocolate,several,paths,poisonous,9.883697549120718,15.7385489088759
115,convex,smooth,yellow,yes,foul,attached,distant,broad,black,enlarging,bulbous,silky,scaly,brown,gray,universal,brown,one,sheathing,white,several,grasses,poisonous,3.754460574460933,2.902687969495182
1004,convex,grooves,gray,yes,foul,attached,crowded,narrow,red,enlarging,bulbous,scaly,fibrous,pink,orange,universal,white,none,pendant,green,numerous,waste,poisonous,11.08971719525092,11.400121800327126
1035,flat,grooves,white,no,foul,descending,distant,narrow,white,tapering,rhizomorphs,silky,silky,brown,pink,partial,brown,none,sheathing,brown,scattered,paths,edible,2.5824227606097203,18.69810721580185
69,sunken,grooves,red,no,almond,free,distant,broad,white,tapering,bulbous,smooth,fibrous,buff,yellow,partial,orange,one,large,yellow,scattered,urban,edible,14.508098487016133,14.86651862136588
779,flat,grooves,white,no,none,attached,close,narrow,chocolate,enlarging,rooted,scaly,scaly,cinnamon,pink,universal,white,none,evanescent,orange,clustered,paths,poisonous,4.124827510593727,11.110443560626797
1240,bell,smooth,red,yes,fishy,descending,crowded,broad,green,tapering,rhizomorphs,scaly,fibrous,buff,white,partial,yellow,none,cobwebby,white,clustered,meadows,edible,14.394692344125218,23.61490422249481
1167,sunken,scaly,white,no,anise,descending,distant,broad,pink,tapering,cup,smooth,silky,gray,yellow,partial,brown,two,sheathing,chocolate,clustered,waste,poisonous,14.27617297122402,5.0549829233453965
1105,sunken,grooves,yellow,no,anise,descending,crowded,broad,gray,enlarging,rhizomorphs,silky,smooth,red,white,partial,white,none,pendant,purple,several,waste,poisonous,6.156391512002684,22.06014282110628
966,conical,scaly,yellow,yes,spicy,attached,crowded,narrow,buff,enlarging,rhizomorphs,scaly,scaly,orange,orange,universal,yellow,two,evanescent,brown,clustered,urban,edible,5.893480957727048,13.989298189808554
1268,sunken,fibrous,buff,yes,none,notched,crowded,narrow,green,tapering,bulbous,scaly,fibrous,orange,buff,universal,white,none,sheathing,orange,scattered,urban,poisonous,13.49711974287832,6.120692547310323
669,flat,grooves,white,no,anise,notched,distant,narrow,orange,tapering,cup,fibrous,smooth,white,pink,partial,white,two,evanescent,white,numerous,meadows,poisonous,14.1941802903628,19.216163757163983
986,sunken,smooth,red,no,almond,notched,crowded,narrow,white,enlarging,cup,silky,silky,gray,pink,partial,orange,none,evanescent,chocolate,several,paths,poisonous,14.08844972243322,18.49616874503487
596,flat,scaly,red,no,musty,descending,crowded,narrow,purple,tapering,club,silky,fibrous,orange,pink,partial,orange,two,large,yellow,abundant,woods,edible,14.294454569633862,10.98383792517865
986,sunken,smooth,red,no,almond,notched,crowded,narrow,white,enlarging,cup,silky,silky,gray,pink,partial,orange,none,evanescent,chocolate,several,paths,poisonous,14.08844972243322,18.49616874503487
879,flat,grooves,green,no,foul,free,crowded,narrow,gray,tapering,rhizomorphs,fibrous,scaly,yellow,cinnamon,universal,orange,two,zone,black,abundant,urban,poisonous,11.938913398298018,16.81894653263686
270,conical,grooves,gray,yes,almond,free,distant,narrow,purple,enlarging,rooted,smooth,silky,white,gray,partial,yellow,one,cobwebby,black,scattered,paths,poisonous,4.995932188895613,20.194054372954284
479,conical,grooves,brown,no,fishy,free,distant,broad,green,enlarging,rhizomorphs,fibrous,scaly,buff,red,partial,brown,none,pendant,purple,several,woods,poisonous,4.760117530456952,21.85306489921058
724,sunken,smooth,pink,yes,spicy,notched,close,broad,pink,enlarging,equal,silky,smooth,pink,pink,universal,white,two,cobwebby,buff,abundant,paths,poisonous,11.12024562837452,20.69663129117588
900,sunken,smooth,gray,yes,musty,free,distant,broad,green,tapering,rooted,silky,silky,pink,buff,partial,brown,none,sheathing,brown,clustered,grasses,poisonous,8.520962667718212,22.368797327464844
804,conical,scaly,red,yes,anise,free,distant,narrow,white,enlarging,bulbous,silky,smooth,gray,cinnamon,universal,orange,one,sheathing,white,solitary,paths,poisonous,13.723358156809384,12.27943163981097
234,bell,smooth,purple,no,musty,free,close,narrow,chocolate,enlarging,rooted,silky,fibrous,cinnamon,white,partial,yellow,two,cobwebby,green,numerous,woods,edible,6.323799425501728,11.097012021859047
